Card#,Title,Artist,URL
44, Don't Speak, No Doubt, https://www.youtube.com/watch?v=TR3Vdo5etCQ
45, (I Can't Get No) Satisfaction, The Rolling Stones, https://www.youtube.com/watch?v=nrIPxlFzDi0
46, Dilemma (feat. Kelly Rowland) Nelly, Kelly Rowland, https://www.youtube.com/watch?v=8WYHDfJDPDc
47, Lola, The Kinks, https://www.youtube.com/watch?v=LemG0cvc4oU
48, Captain Jack, Captain Jack, https://www.youtube.com/watch?v=0Bb_w7nOBwg
49, True Colors, Cyndi Lauper, https://www.youtube.com/watch?v=LPn0KFlbqX8
50, Hey Ya!, Outkast, https://www.youtube.com/watch?v=PWgvGjAhvIw
51, Guajira Guantanamera, Joseito Fernandez, https://www.youtube.com/watch?v=SVMyUUTfk80
52, La Cintura, Alvaro Soler, https://www.youtube.com/watch?v=Eg4LUvUjUWI
53, Sick and Tired, Anastacia, https://www.youtube.com/watch?v=HzfyCuPVpCY
54, If You Leave Me Now, Chicago, https://www.youtube.com/watch?v=-9_d-sFhmRM
55, "Siebzehn Jahr, blondes Haar", Udo Jürgens, https://www.youtube.com/watch?v=1_ReKoTY8eY
56, Murder On The Dancefloor, Sophie Ellis-Bextor, https://www.youtube.com/watch?v=hAx6mYeC6pY
57, Sing Hallelujah!, Dr. Alban, https://www.youtube.com/watch?v=pKxJca7LLNM
58, Set Fire to the Rain, Adele, https://www.youtube.com/watch?v=a2giXO6eyuI
59, Herz an Herz, Blümchen, https://www.youtube.com/watch?v=eGUsqIPurNQ
60, Tage Wie diese, Die Toten Hosen
61, Sweet Caroline, Neil Diamond
62, Do Wah Diddy Diddy, Manfred Mann
63, Uber sieben Brücken musst du gehn, Karat
64, Don't Leave Me This Way, Thelma Houston
65, Can't Hold Us (feat. Ray Dalton), "Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton"
66, Do You Know? (The Ping Pong Song), Enrique Iglesias
67, Warum?, Tic Tac Toe
68, Gimme Hope Jo'Anna, Eddy Grant
69, Wind of Change, Scorpions
70, Le Freak, CHIC
71, Haus am See, Peter Fox
72, Poker Face, Lady Gaga
73, It's a Heartache, Bonnie Tyler
74, Johnny B. Goode, Chuck Berry
75, White Wedding, Billy Idol
76, Rigoletto: "La Donna E' Mobile", Enrico Caruso
77, Without You (feat. Sandro Cavazza), "Avicii, Sandro Cavazza"
78, Volare (Nel Blu di Pinto di Blu), Gipsy Kings, https://www.youtube.com/watch?v=X8TOhb_4jU0
79, Ca plane pour moi, Plastic Bertrand, https://www.youtube.com/watch?v=8soQkubMk1g
80, Born to Be Alive, Patrick Hernandez, https://www.youtube.com/watch?v=9UaJAnnipkY
81, Whole Lotta Love, Led Zeppelin, https://www.youtube.com/watch?v=HibBnC6SVk8
82, Ein Kompliment, Sportfreunde Stiller, https://www.youtube.com/watch?v=C4uXGzFZjqw
83, In the Mood, Glenn Miller, https://www.youtube.com/watch?v=_CI-0E_jses
84, Wahnsinn, Wolfgang Petry, https://www.youtube.com/watch?v=ExgfgiW-BJI
85, Counting Stars, OneRepublic, https://www.youtube.com/watch?v=hT_nvWreIhg
86, Dragostea din tei, O-Zone, https://www.youtube.com/watch?v=YnopHCL1Jk8
87, Everybody Hurts, R.E.M., https://www.youtube.com/watch?v=5rOiW_xY-kc
88, Just Give Me a Reason (feat. Nate Ruess), "Pink, Nate Ruess", https://www.youtube.com/watch?v=OpQFFLBMEPI
89, Joyride, Roxette, https://www.youtube.com/watch?v=xCorJG9mubk
90, (We're Gonna) Rock Around The Clock, Bill Haley & His Comets, https://www.youtube.com/watch?v=Rr3hP8NQ9KM
91, Bette Davis Eyes, Kim Carnes, https://www.youtube.com/watch?v=EPOIS5taqA8
92, Lambada, Kaoma, https://www.youtube.com/watch?v=iyLdoQGBchQ
93, Ain't Nobody, "Rufus, Chaka Khan"
94, Have You Ever Seen The Rain, Creedence Clearwater Revival, https://youtu.be/u1V8YRJnr4Q?t=16
95, "(I've Had) The Time of My Life", "Bill Medley, Jennifer Warnes"
96, Piu bella cosa, Eros Ramazzotti
97, No Son Of Mine, Genesis
98, Happy, Pharrell Williams
99, Wonderwall, Oasis
100, "You Can't Hurry Love", The Supremes
153, If You Had My Love, Jennifer Lopez, https://www.youtube.com/watch?v=lYfkl-HXfuU
